URN,Perseus,Text,SOL
urn:cts:greekLit:tlg1389.tlg001.dc3:διεγγύησιν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.diegguesin,"Διεγγύησιν: ἀντὶ τοῦ κατάστασιν ἐγγυητῶν <person TLG=""0014"">Δημοσθένης</person> <work TLG=""0014.024"">κατὰ Τιμοκράτους</work>. ἐν δὲ τῷ <work TLG=""0014.059"">κατὰ Νεαίρας</work>, εἰ γνήσιος ὁ λόγος, φησὶ <q TLG=""0014.059.41"">διεγγυηθεῖσα ὑπὸ τοῦ Στεφάνου.</q>",
urn:cts:greekLit:tlg1389.tlg001.dc3:διεκωδώνισε,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.diekodonise,"Διεκωδώνισε: <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.019"">περὶ τῆς πρεσβείας</work> ἀντὶ τοῦ διεπείρασε καὶ ἐξήτασεν. ἡ δὲ μεταφορὰ ἤτοι ἀπὸ τῶν περιπολούντων σὺν κώδωσι νυκτὸς τὰς φυλακὰς, ὡς Εὐριπίδης Παλαμήδει, ἢ ἀπὸ τῶν δοκιμαζόντων τοὺς μαχίμους ὄρτυγας τῷ ἤχῳ τοῦ κώδωνος, ὡς Ἀρίσταρχος.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δι'_ἐνιαυτοῦ,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.di_eniautou,"Δι' ἐνιαυτοῦ: ἀντὶ τοῦ δι' ὅλου τοῦ ἐνιαυτοῦ <person TLG=""0028"">Ἀντιφῶν</person> περὶ τοῦ Λινδίων φόρου. Τηλεκλείδης δ' ἐν τοῖς Πρυτάνεσι δι' ἡμέρας εἶπεν ἀντὶ τοῦ δι' ὅλης τῆς ἡμέρας.",
urn:cts:greekLit:tlg1389.tlg001.dc3:διεσπευσάμην,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.diespeusamen,"Διεσπευσάμην: ἀντὶ τοῦ διὰ σπουδῆς ἐποιησάμην, ἢ ἀντὶ τοῦ διεπραξάμην <person TLG=""0017"">Ἰσαῖος</person> ἐν τῷ πρὸς Ἕρμωνα περὶ ἐγγύης.",
urn:cts:greekLit:tlg1389.tlg001.dc3:διεσκαριφησάμεθα,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dieskarifesamethl,"Διεσκαριφησάμεθα: <person TLG=""0010"">Ἰσοκράτης</person> <work TLG=""0010.018"">Ἀρεοπαγιτικῷ</work>. σκαριφήσασθαί ἐστι τὸ ἐπισεσυρμένως τι ποιεῖν καὶ μὴ κατὰ τὴν προσήκουσαν ἀκρίβειαν.",
urn:cts:greekLit:tlg1389.tlg001.dc3:διετείναντο,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dieteinanto,"Διετείναντο: ἰδίως <person TLG=""0028"">Ἀντιφῶν</person> τοῦτ' ἔταξεν ἐν τῷ περὶ τοῦ Ἡρώδου φόνου, ἀντὶ τοῦ διὰ συντόνου σπουδῆς ἀπηρνήσαντο.",
urn:cts:greekLit:tlg1389.tlg001.dc3:διήλλαξεν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.diellaxen,"Διήλλαξεν: ἀντὶ τοῦ μετήλλαξεν, ἐτελεύτησεν, <person TLG=""0034"">Λυκοῦργος</person> ἐν τῷ περὶ τῆς ἱερείας.",
urn:cts:greekLit:tlg1389.tlg001.dc3:διῆρξα,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dierxa,"Διῆρξα: ἀντὶ τοῦ διὰ τέλους ἦρξα <person TLG=""0540"">Λυσίας</person> ἐν τῇ πρὸς τὴν Μιξιδήμου γραφὴν ἀπολογίᾳ.",
urn:cts:greekLit:tlg1389.tlg001.dc3:διιπόλεια,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.diipoleia,"Διιπόλεια: ἑορτή τις Ἀθήνησι τὰ Διιπόλεια· <person TLG=""0028"">Ἀντιφῶν</person> ἐν τῷ περὶ τοῦ χορευτοῦ.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δικαιογένης,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dikaiogenes,Δικαιογένης: τραγῳδίας οὗτος ποιητής. καὶ διθυράμβους ἔγραψε.,
urn:cts:greekLit:tlg1389.tlg001.dc3:δικαιόπολις,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dikaiopolis,"Δικαιόπολις: <person TLG=""0540"">Λυσίας</person> ἐν τῷ κατὰ Θρασυβούλου, εἰ γνήσιος. πόλις ἐν τῇ Θρᾴκῃ πλησίον Ἀβδήρων. τυχὸν δὲ καὶ ἑτέρα τίς ἐστι Δικαιόπολις.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δικαίωσις,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dikaiosis,"Δικαίωσις: <person TLG=""0540"">Λυσίας</person> ἐν τῷ ὑπὲρ τοῦ στρατιώτου, εἰ γνήσιος, καὶ μάλα τὰς δικαιώσεις φησὶν ἀντὶ τοῦ δικαιολογίας. ὁ μέντοι <person TLG=""0003"">Θουκυδίδης</person> πολλάκις τὴν δικαίωσιν ἐπὶ τῆς κολάσεως τάττει.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δίκη,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dike,"Δίκη: σημαίνει μὲν καὶ ἄλλα τὸ ὄνομα, ἰδίως δὲ λέγεται ἐπὶ τῶν ἰδιωτικῶν ἐγκλημάτων, ὡς σαφὲς ποιεῖ <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.054"">κατὰ Κόνωνος</work>.",
urn:cts:greekLit:tlg1389.tlg001.dc3:διοικιεῖν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dioikiein,"Διοικιεῖν: ἀντὶ τοῦ διαιρήσειν, ὥστε μὴ ἐν ταὐτῷ πάντας οἰκεῖν, ἀλλὰ χωρὶς καὶ κατὰ μέρος, <person TLG=""0014"">Δημοσθένης</person> ἐν <TLG=""0014.005"">ε Φιλιππικῶν</work><ref TLG=""0014.005.10""/>.",
urn:cts:greekLit:tlg1389.tlg001.dc3:διοπεύων,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.diopeuon,"Διοπεύων: <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.035"">κατὰ Λακρίτου</work>. δίοπος λέγεται νεὼς ὁ διέπων καὶ ἐποπτεύων τὰ κατὰ τὴν ναῦν, ὁ καθ' ἡμᾶς λεγόμενος ἐπίπλους.",
urn:cts:greekLit:tlg1389.tlg001.dc3:διότιμος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.diotimos,"Διότιμος: ὄνομα κύριον, ναύαρχος Ἀθηναίων.",
urn:cts:greekLit:tlg1389.tlg001.dc3:διόφαντος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.diofantos,Διόφαντος: ὄνομα κύριον.,
urn:cts:greekLit:tlg1389.tlg001.dc3:διωλύγιον,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dioaugion,"Διωλύγιον: <person TLG=""0017"">Ἰσαῖος</person> ἐν τῷ πρὸς Στρατοκλέα ""πράγματα διωλύγια"" ἀντὶ τοῦ μεγάλα. καὶ Πλάτων.",
urn:cts:greekLit:tlg1389.tlg001.dc3:διωμοσία,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.diomosia,"Διωμοσία: κυρίως ἡ παρὰ τῶν διαδικαζομένων· <person TLG=""0014"">Δημοσθένης</person> <work TLG=""0014.023"">κατ’ Ἀριστοκράτους</work>.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δοκιμασθείς,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dokimastheis,"Δοκιμασθείς: ἀντὶ τοῦ εἰς ἄνδρας ἐγγραφείς <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.030"">κατὰ Ὀνήτορος</work>. λέγεται δὲ καὶ ἐπὶ τῶν ἀρχόντων τὸ δοκιμασθῆναι, ὡς ὁ αὐτὸς ῥήτωρ ἐν τῇ <work TLG=""0014.057"">πρὸς Εὐβουλίδην</work> ἐφέσει δηλοῖ. ἐλέγετο δὲ καὶ ἐπὶ τῶν πολιτευομένων, εἰ καὶ μηδ' ἡντιναοῦν ἦρχον ἀρχήν· ἐξητάζετο γὰρ αὐτῶν ὁ βίος ἐνίοτε, ὡς <person TLG=""0026"">Αἰσχίνης</person> ἐν τῷ <work TLG=""0026.001"">κατὰ Τιμάρχου</work> φησίν. <person TLG=""0034"">Λυκοῦργος</person> δ' ἐν τῷ περὶ τῆς διοικήσεως ""γ δοκιμασίαι κατὰ τὸν νόμον"" φησὶ ""γίνονται, μία μὲν ἣν οἱ θ ἄρχοντες δοκιμάζονται, ἑτέρα δὲ ἣν οἱ ῥήτορες, τρίτη δὲ ἣν οἱ στρατηγοί."" λέγει μέντοι ἐν τῷ αὐτῷ λόγῳ καὶ ἱππέων δοκιμασίαν.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δορίσκος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.doriskos,"Δορίσκος: χωρίον τῆς Θρᾴκης· <person TLG=""0014"">Δημοσθένης</person> <work TLG=""0014.018"">ὑπὲρ Κτησιφῶντος</work> καὶ Ἡρόδοτος.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δόσις,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dosis,"Δόσις: ἰδίως λέγεται παρὰ τοῖς ῥήτορσι συμβόλαιον γραφόμενον, ὅταν τις τὰ αὑτοῦ διδῷ τινὶ διὰ τῶν ἀρχόντων, ὡς παρὰ Δεινάρχῳ.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δρακοντίδης,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.drakontides,"Δρακοντίδης: εἷς τῶν λ· <person TLG=""0030"">Ὑπερείδης</person>.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δράκων,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.drakon,"Δράκων: οὗτος ἐπιφανέστατος νομοθέτης, ὡς <person TLG=""0026"">Αἰσχίνης</person>. ἕτερος δ' ἐστὶ Δράκων οὗ <person TLG=""0010"">Ἰσοκράτης</person> ἐν τῷ <work TLG=""0010.011"">Πανηγυρικῷ</work> μέμνηται.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δρογγίλον,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.drggilon,"Δρογγίλον: Θρᾳκικὸν χωρίον· <person TLG=""0014"">Δημοσθένης</person> Φιλιππικοῖς<ref TLG=""0014.008.44""/>.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δρομοκήρυκες,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dromokerukes,"Δρομοκήρυκες: <person TLG=""0026"">Αἰσχίνης</person>. οἱ λεγόμενοι ἡμεροδρόμοι.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δρυμός,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.drumos,"Δρυμός: πόλις μεταξὺ Βοιωτίας καὶ τῆς Ἀττικῆς· <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.019"">περὶ τῆς πρεσβείας</work><ref TLG=""0014.019.326""/>. <person TLG=""0086"">Ἀριστοτέλης</person> δ' ἐν τοῖς δικαιώμασί φησιν οὕτως ""ἔπειτα Δρυμὸν ἕνα Ἀττικὸν καὶ ἕτερον Βοιώτιον.""",
urn:cts:greekLit:tlg1389.tlg001.dc3:δρῦς,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.drus,"Δρῦς: <person TLG=""0014"">Δημοσθένης</person> <work TLG=""0014.023"">κατ’ Ἀριστοκράτους</work>. πόλις ἐν Ἠπείρῳ. ἔστι δὲ καὶ ἑτέρα ἐν Θρᾴκῃ, ἧς νῦν ὁ ῥήτωρ μνημονεύει· ταύτην <person TLG=""0566"">Θεόπομπος</person> ἐν κ φησὶν ὑπὸ Ἰφικράτους κατοικισθῆναι.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δυσάνιος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dusanios,"Δυσάνιος: <person TLG=""0028"">Ἀντιφῶν</person>. ὁ ἐπὶ παντὶ ἀνιώμενος, κἂν μικρὸν καὶ εὐκαταφρόνητον ᾖ. καὶ Ἱπποκράτης ἐχρήσατό που τῷ ὀνόματι καὶ <person TLG=""0541"">Μένανδρος</person>.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δυσαύλης,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dusaules,"Δυσαύλης: <person TLG=""0029"">Δείναρχος</person> ἐν τῇ τῆς ἱερείας διαδικασίᾳ, εἰ γνήσιος. Ἀσκληπιάδης δ' ἐν δ Τραγῳδουμένων τὸν Δυσαύλην αὐτόχθονα εἶναί φησι, συνοικήσαντα δὲ Βαυβοῖ σχεῖν παῖδας Πρωτονόην τε καὶ Νῖσαν. Παλαίφατος δ' ἐν θ Τρωϊκῶν σὺν τῇ γυναικί φησιν αὐτὸν ὑποδέξασθαι τὴν Δήμητρα.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δυσωποῦμαι,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dusopoumai,"Δυσωποῦμαι: ἀντὶ τοῦ φοβοῦμαι <person TLG=""0014"">Δημοσθένης</person> Φιλιππικοῖς<ref TLG=""0014.009.65""/> καὶ <person TLG=""0032"">Ξενοφῶν</person> ἐν β Ἀπομνημονευμάτων.",
urn:cts:greekLit:tlg1389.tlg001.dc3:δωριεύς,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.dorieus,Δωριεύς: ὄνομα παγκρατιαστοῦ.,
urn:cts:greekLit:tlg1389.tlg001.dc3:δωροξενία,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.doroxenia,"Δωροξενία: <person TLG=""0540"">Λυσίας</person> ἐν τῷ κατὰ Νικίδου. ἐξηγήσατο τοὔνομα <person TLG=""0030"">Ὑπερείδης</person> ἐν τῷ κατ' Ἀρισταγόρας οὕτω γράφων· ""ἐπεὶ καὶ ὁ τῆς δωροξενίας νόμος ἁρμόττων ἐστὶ τῷ νῦν ἀγῶνι παραχθῆναι· εἰ γὰρ καὶ τοὺς ἀποφυγόντας ξενίας εἴρηκεν ἐξεῖναι τῷ βουλομένῳ πάλιν γράψασθαι, ἐὰν μὴ δοκῶσι δικαίως τὸ πρῶτον ἀποπεφευγέναι, πῶς οὐ φανερόν ἐστι κατ' Ἀρισταγόρας τὸ δίκαιον;"" καὶ <person TLG=""0086"">Ἀριστοτέλης</person> δ' ἐν τῇ <work TLG=""0086.003"">Ἀθηναίων πολιτείᾳ</work> περὶ τῶν θεσμοθετῶν λέγων γράφει ταυτί· ""εἰσὶ δὲ καὶ γραφαὶ πρὸς αὐτοὺς, ὧν παράστασις τίθεται, ξενίας καὶ δωροξενίας, ἄν τις δῶρα δοὺς ἀποφύγῃ τὴν συκοφαντίαν.""",
urn:cts:greekLit:tlg1389.tlg001.dc3:δώρων_γραφή,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:d.doron_grafe,"Δώρων γραφή: ὁπότε τις αἰτίαν ἔχοι τῶν πολιτευομένων δῶρα λαβεῖν, τὸ ἔγκλημα τὸ κατ' αὐτοῦ διχῶς ἐλέγετο, δωροδοκία τε καὶ δώρων γραφή. <person TLG=""0029"">Δείναρχος</person> οὖν λόγον μέν τινα ἐπέγραψε κατὰ Πολυεύκτου δωροδοκίας, ἐν δὲ τῷ κατὰ Πυθέου ξενίας πολλάκις ὀνομάζει τὴν τῶν δώρων γραφήν.",
"urn:cts:greekLit:tlg1389.tlg001.dc3:ἐάν_τις_γραψάμενος_μὴ_μεταλάβῃ_τὸ_ε_μέρος_τῶν_ψήφων,_ὀφλισκάνει_χιλίας_καὶ_πρόσεστιν_ἀτιμία_τις.",urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.ean_tis_grapsamenos_me,"Ἐάν τις γραψάμενος μὴ μεταλάβῃ τὸ ε μέρος τῶν ψήφων, ὀφλισκάνει χιλίας καὶ πρόσεστιν ἀτιμία τις. <person TLG=""0540"">Λυσίας</person> ἐν τῷ ὑπὲρ τοῦ κατὰ τῶν ῥητόρων νόμου. διείλεκται περὶ τούτων καὶ Θεόφραστος ἐν τοῖς περὶ τῶν νόμων.",
urn:cts:greekLit:tlg1389.tlg001.dc3:ἑβδομευομένου,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.hebdomeuomenou,"Ἑβδομευομένου: <person TLG=""0540"">Λυσίας</person> ἐν τῷ πρὸς Ἐτεοκλέα περὶ χρημάτων, εἰ γνήσιος. τοῖς ἀποτεχθεῖσι παιδίοις τὰς ἑβδόμας καὶ τὰς δεκάτας ἦγον, καὶ τά γε ὀνόματα ἐτίθεντο αὐτοῖς οἱ μὲν τῇ ἑβδόμῃ, ὡς καὶ ὁ ῥήτωρ λέγει, οἱ δὲ τῇ δεκάτῃ. <person TLG=""0086"">Ἀριστοτέλης</person> δ' ἐν θ <work TLG=""0086.014"">περὶ ζῴων ἱστορίας</work> γράφει ταυτί· <q TLG=""0086.014.588a"">τὰ πλεῖστα δὲ ἀναιρεῖται πρὸ τῆς ἑβδόμης, διὸ καὶ τὰ ὀνόματα τότε τίθενται ὡς πιστεύοντες ἤδη τῇ σωτηρίᾳ.</q>",
urn:cts:greekLit:tlg1389.tlg001.dc3:ἐγγυθήκη,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.eggutheke,"Ἐγγυθήκη: φέρεταί τις λόγος ὡς Λυσίου ἐπιγραφόμενος 'περὶ τῆς ἐγγυθήκης.' εἴη δ' ἂν σκεῦός τι πρὸς τὸ κρατῆρας ἢ λέβητας ἤ τι τούτων οὐκ ἀλλότριον ἐπικεῖσθαι ἐπιτήδειον, ὡς Καλλίξενός τε ἐν δ περὶ Ἀλεξανδρείας ὑποσημαίνει καὶ Δαΐμαχος ὁ Πλαταιεὺς ἐν β περὶ Ἰνδικῆς.",
urn:cts:greekLit:tlg1389.tlg001.dc3:ἑδωλιάσαι,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.hedoliasai,"Ἑδωλιάσαι: <person TLG=""0034"">Λυκοῦργος</person> ἐν τῷ ἐπιγραφομένῳ 'ἀπολογισμὸς ὧν πεπολίτευται' ἐπὶ τοῦ συγκαθίσαι. καὶ ἑδώλια αἱ ἐν ταῖς ναυσὶ καθέδραι· <person TLG=""0016"">Ἡρόδοτος</person> α.",
urn:cts:greekLit:tlg1389.tlg001.dc3:ἔθνος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.ethnos,"Ἔθνος: οὐ μόνον τὸ μέγα καὶ πολυάνθρωπον γένος, ἀλλὰ καὶ ἰδίως μέρος τι τῆς πόλεως. <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.023"">κατ’ Ἀριστοκράτους</work>, <q TLG=""0014.023.146"">εἴ τις ὑμᾶς ἔροιτο τί πονηρότατον νομίζετε τῶν ἐν τῇ πόλει πάντων ἐθνῶν, οὔτε τοὺς γεωργοὺς οὔτε τοὺς ἐμπόρους οὔτε τοὺς ἐκ τῶν ἀργυρείων οὔτε τῶν τοιούτων οὐδὲν ἂν εἴποιτε.</q> ἐν δὲ <work TLG=""0014.009"">τῷ θ Φιλιππικῷ</work> φησὶν <q TLG=""0014.009.26"">ἀλλὰ Θετταλία πῶς ἔχει; οὐχὶ τὰς πόλεις καὶ τὰς πολιτείας αὐτῶν ἀφῄρηται καὶ τετραδαρχίας κατέστησε παρ' αὐτοῖς, ἵνα μὴ μόνον κατὰ πόλεις ἀλλὰ καὶ κατὰ ἔθνη δουλεύωσιν;</q>",
urn:cts:greekLit:tlg1389.tlg001.dc3:εἱλωτεύειν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.eiloteuein,"Εἱλωτεύειν: τὸ δουλεύειν <person TLG=""0010"">Ἰσοκράτης</person> <work TLG=""0010.011"">Πανηγυρικῷ</work>· εἵλωτες γὰρ οἱ μὴ γόνῳ δοῦλοι Λακεδαιμονίων, ἀλλ' οἱ πρῶτοι χειρωθέντες τῶν Ἕλος τὴν πόλιν οἰκούντων, ὡς ἄλλοι τε πολλοὶ μαρτυροῦσι καὶ <person TLG=""0539"">Ἑλλάνικος</person> ἐν τῇ α.",
urn:cts:greekLit:tlg1389.tlg001.dc3:εἰσαγγελία,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.eisaggelia,"Εἰσαγγελία: δημοσίας τινὸς δίκης ὄνομά ἐστι, τρία δ' ἐστὶν εἴδη εἰσαγγελιῶν. ἡ μὲν γὰρ ἐπὶ δημοσίοις ἀδικήμασι μεγίστοις καὶ ἀναβολὴν μὴ ἐπιδεχομένοις, καὶ ἐφ' οἷς μήτε ἀρχὴ καθέστηκε μήτε νόμοι κεῖνται τοῖς ἄρχουσι καθ' οὓς εἰσάξουσιν, ἀλλὰ πρὸς τὴν βουλὴν ἢ τὸν δῆμον ἡ πρώτη κατάστασις γίνεται, καὶ ἐφ' οἷς τῷ μὲν φεύγοντι, ἐὰν ἁλῷ, μέγισται ζημίαι ἐπίκεινται, ὁ δὲ διώκων, ἐὰν μὴ ἕλῃ, οὐδὲν ζημιοῦται, πλὴν ἐὰν τὸ ε μέρος τῶν ψήφων μὴ μεταλάβῃ· τότε γὰρ χιλίας ἐκτίνει· τὸ δὲ παλαιὸν καὶ οὗτοι μειζόνως ἐκολάζοντο. ἑτέρα δὲ εἰσαγγελία λέγεται ἐπὶ ταῖς κακώσεσιν· αὗται δ' εἰσὶ πρὸς τὸν ἄρχοντα, καὶ τῷ διώκοντι ἀζήμιοι, κἂν μὴ μεταλάβῃ τὸ ε μέρος τῶν ψήφων. ἄλλη δὲ εἰσαγγελία ἐστὶ κατὰ τῶν διαιτητῶν· εἰ γάρ τις ὑπὸ διαιτητοῦ ἀδικηθείη, ἐξῆν τοῦτον εἰσαγγέλλειν πρὸς τοὺς δικαστὰς, καὶ ἁλοὺς ἠτιμοῦτο. <person TLG=""0017"">Ἰσαῖος</person> μέντοι περὶ τοῦ Ἁγνίου κλήρου τὸ αὐτὸ πρᾶγμα εἰσαγγελίαν καὶ γραφὴν ὠνόμασεν.",
urn:cts:greekLit:tlg1389.tlg001.dc3:εἰς_ἐμφανῶν_κατάστασιν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.eis_emfanon_katastasin,"Εἰς ἐμφανῶν κατάστασιν: ὄνομα δίκης ἐστὶν ὑπὲρ τοῦ τὰ ἀμφισβητήσιμα εἶναι ἐν φανερῷ· <person TLG=""0017"">Ἰσαῖος</person> ἐν τῷ περὶ τοῦ Φιλοκτήμονος κλήρου. ὁ δὲ <person TLG=""0086"">Ἀριστοτέλης</person> ἐν τῇ <work TLG=""0086.003"">Ἀθηναίων πολιτείᾳ</work> πρὸς τὸν ἄρχοντά φησι λαγχάνεσθαι ταύτην τὴν δίκην, τὸν δὲ ἀνακρίνοντα εἰσάγειν εἰς τὸ δικαστήριον.",
urn:cts:greekLit:tlg1389.tlg001.dc3:εἰς_ἓν_ἦλθεν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.eis_en_elthen,Εἰς ἓν ἦλθεν: ἀντὶ τοῦ ὡμονόησεν.,
urn:cts:greekLit:tlg1389.tlg001.dc3:εἰσεπόδιζον,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.eisepodizon,"Εἰσεπόδιζον: ἀντὶ τοῦ εἰσέβαινον τοὺς πόδας τοῦ χωρίου <person TLG=""0017"">Ἰσαῖος</person> ἐν τῷ πρὸς ὀργεῶνας.",
urn:cts:greekLit:tlg1389.tlg001.dc3:εἰς_ἕω,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.eis_eo,"Εἰς ἕω: ἀντὶ τοῦ εἰς ἀρχομένην ἡμέραν <person TLG=""0017"">Ἰσαῖος</person> ἐν τῷ <work TLG=""0017.008"">περὶ τοῦ Κίρωνος κλήρου</work>.",
urn:cts:greekLit:tlg1389.tlg001.dc3:εἰσφρήσειν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.eisfresein,"Εἰσφρήσειν: ἀντὶ τοῦ εἰσάξειν, εἰσδέξεσθαι· <person TLG=""0028"">Ἀντιφῶν</person> καὶ <person TLG=""0014"">Δημοσθένης</person> ἐν <work TLG=""0014.008"">η Φιλιππικῷ</work><ref TLG=""0014.008.15""/>. πολὺ δὲ τοὔνομα ἐν τῇ ἀρχαίᾳ κωμῳδίᾳ.",
urn:cts:greekLit:tlg1389.tlg001.dc3:ἐκαλίστρουν,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.ekalistroun,"Ἐκαλίστρουν: <person TLG=""0014"">Δημοσθένης</person> ἐν τῷ <work TLG=""0014.047"">κατ' Εὐέργου καὶ Μνησιβούλου</work>, εἰ γνήσιος. Ἰακὸν δ' ἐστὶ, καὶ τάχ' ἂν εἴη Δεινάρχου· καὶ οὗτος γὰρ ξενικοῖς ὀνόμασι χρῆται.",
urn:cts:greekLit:tlg1389.tlg001.dc3:ἑκάτης_νῆσος,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.hekates_nesos,"Ἑκάτης νῆσος: <person TLG=""0034"">Λυκοῦργος</person> κατὰ Μενεσαίχμου. πρὸ τῆς Δήλου κεῖταί τι νησύδριον, ὅπερ ὑπ' ἐνίων καλεῖται Ψαμμητίχη, ὡς Φανόδημος ἐν τῇ α. Ψαμμητίχην δὲ κεκλῆσθαί φησιν ὁ Σῆμος ἐν α Δηλιακῶν διὰ τὸ τοῖς ψαμμήτοις τιμᾶσθαι τὴν θεόν· ψάμμητα δ' ἐστὶ ψαιστῶν τις ἰδέα.",
urn:cts:greekLit:tlg1389.tlg001.dc3:ἑκατομβαιών,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.hekatombaion,"Ἑκατομβαιών: ὄνομα μηνός. <person TLG=""0030"">Ὑπερείδης</person>. ὁ γοῦν Ἀμμώνιός φησιν ἀπὸ τοῦ πλείστας τούτῳ τῷ μηνὶ θύεσθαι ἑκατόμβας κεκλῆσθαι.",
urn:cts:greekLit:tlg1389.tlg001.dc3:ἑκατόμνως,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.hekatomnos,Ἑκατόμνως: ὄνομα κύριον.,
urn:cts:greekLit:tlg1389.tlg001.dc3:ἑκατόμπεδον,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.hekatompedon,"Ἑκατόμπεδον: <person TLG=""0034"">Λυκοῦργος</person> ἐν τῷ ἐπιγραφομένῳ 'ἀπολογισμὸς ὧν πεπολίτευται.' ὁ παρθενὼν ὑπό τινων Ἑκατόμπεδος ἐκαλεῖτο διὰ κάλλος καὶ εὐρυθμίαν, οὐ διὰ μέγεθος, ὡς Μενεκλῆς ἢ Καλλικράτης ἐν τῷ περὶ Ἀθηνῶν.",
urn:cts:greekLit:tlg1389.tlg001.dc3:ἔκδεια,urn:cts:greekLit:tlg1389.tlg001.perseus-grc1:e.ekdeia,"Ἔκδεια: <person TLG=""0030"">Ὑπερείδης</person> ἐν τῷ κατὰ Πασικλέους ""ἐὰν δέ τις ἔκδεια γένηται,"" ἤγουν ἐὰν δέ τις ἐνδεήσῃ τοῦ προϋπάρχοντος ἀργυρίου.",
